# Description: Public SysCilia Gold Standard Version 1
# Authors: TJP van Dam, G Wheway, GG Slaats, SYSCILIA Study Group, MA Huynen, RH Giles
# Date: 2013-05-22
# Version: 1.0 (GS version 4.0)
# Ensembl version: 71
# Note: First official PUBLIC release version of the SysCilia Gold Standard. Published in the Cilia journal
# Column 1: ensembl gene id
# Column 2: gene name
# Column 3: gene description from ensembl
# Column 4: Curator's note, describes reason for including the gene in the gold standard.
# Column 5: evidence for ciliary involvement as pubmed ids
# Column 6: ciliome studies that report this gene
# Column 7: Cellular and ciliary localisation of the protein
## ensembl_gene_id	ensembl_gene_symbol	ensembl_gene_desc	scgs_note	scgs_pubmed	scgs_ciliomes	scgs_localisation
ENSG00000138031	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:234]	Localized to the plasma membrane of neuronal cilia PMID: 17924533, PMID: 23392690	PMID:17924533, PMID:23392690	Mayer et al. 2009	Ciliary Membrane
ENSG00000125863	MKKS	McKusick-Kaufman syndrome [Source:HGNC Symbol;Acc:7108]	MKKS, BBS6 OMIM 604896 Forms complex with other chaperonin-like BBS proteins to facilitate BBSome assembly PMID:20080638. At basal body of differentiating preadipocytes. Role in targeting of Wnt and Hh receptors to this cilium PMID:19190184.	PMID:10973251, PMID:15731008	Nogales-Cadenas et al. 2006	Basal Body, Cytosol
ENSG00000011143	MKS1	Meckel syndrome, type 1 [Source:HGNC Symbol;Acc:7121]	MKS1, BBS13 OMIM 609883	PMID:16415886	Keller et al. 2005, Li et al. 2004, Liu et al. 2007	Basal Body
ENSG00000178053	MLF1	myeloid leukemia factor 1 [Source:HGNC Symbol;Acc:7125]	Upregulated during ciliogenesis and localize to primary cilia and motile cilia PMID:23300604	PMID:23300604	Nogales-Cadenas et al. 2006, Ostrowski et al. 2002, Ross et al. 2007	Cilium
ENSG00000138587	MNS1	meiosis-specific nuclear structural 1 [Source:HGNC Symbol;Acc:29636]	Mns1-/- mice have short, immotile sperm flagella, situs defects and hydrocephalus. Protein localised along flagellum. PMID:22396656. Knockdown in IMCD3 and 3T3 cells causes Hh signalling defects PMID:21289087	PMID:22396656, PMID:21289087	Arnaiz et al. 2009, Arnaiz et al. 2010, Cao et al. 2008, Li et al. 2004, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Smith et al. 2005, Stolc et al. 2005	Axoneme
ENSG00000091536	MYO15A	myosin XVA [Source:HGNC Symbol;Acc:7594]	DFNB3 OMIM 600316. Localizes to tip of stereocilia, essential for staircase formation.	PMID:14610277		Ciliary Tip, Stereocilium
ENSG00000137474	MYO7A	myosin VIIA [Source:HGNC Symbol;Acc:7606]	Known ciliopathy gene  DFNA11, DFNB2, USH1B OMIM 276903	PMID:7870171	Blacque et al. 2005, Liu et al. 2007	Ciliary Tip, Stereocilium
ENSG00000137601	NEK1	NIMA-related kinase 1 [Source:HGNC Symbol;Acc:7744]	SRPS2. Promotes VHL degradation and ciliary destabilization	PMID:23255108		Basal Body, Pericentriolar Matrix
ENSG00000117650	NEK2	NIMA-related kinase 2 [Source:HGNC Symbol;Acc:7745]	required for cilium disassembly at G2/M	PMID:22613497	Andersen et al. 2003, Nogales-Cadenas et al. 2006	Basal Body, Centriole
ENSG00000114904	NEK4	NIMA-related kinase 4 [Source:HGNC Symbol;Acc:11399]	Interacts with RPGRIP1 and RPGRIP1L. Regulates cilium integrity. PMID:21685204	PMID:21685204		Basal Body, Ciliary Rootlet
ENSG00000160602	NEK8	NIMA-related kinase 8 [Source:HGNC Symbol;Acc:13387]	Known ciliopathy gene NPHP9 OMIM 609799	PMID:22106379, PMID:18199800		Transition Zone
ENSG00000064300	NGFR	nerve growth factor receptor [Source:HGNC Symbol;Acc:7809]	Localized to the plasma membrane of neuronal cilia PMID: 20875398	PMID:20875398		Ciliary Membrane
ENSG00000100503	NIN	ninein (GSK3B interacting protein) [Source:HGNC Symbol;Acc:14906]	PMID: 21725307 PMID: 15784680	PMID:21725307, PMID:15784680	Andersen et al. 2003, Nogales-Cadenas et al. 2006	Centriole
ENSG00000101004	NINL	ninein-like [Source:HGNC Symbol;Acc:29163]	Interacts with lebercilin, USH2A (isoform B) PMID:18826961	PMID:18826961	Nogales-Cadenas et al. 2006	Basal Body, Centrosome
ENSG00000112981	NME5	NME/NM23 family member 5 [Source:HGNC Symbol;Acc:7853] 	Hydrocephalus and infertility due to dysfunctional motile cilia in KO mouse PMID: 21746835	PMID:21746835	McClintock et al. 2008, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Stolc et al. 2005, Stubbs et al. 2008	
ENSG00000143156	NME7	NME/NM23 family member 7 [Source:HGNC Symbol;Acc:20461]	PMID:21289087 IFT transport and signalling defects after knockdown	PMID:21289087	Andersen et al. 2003, Arnaiz et al. 2009, Arnaiz et al. 2010, Broadhead et al. 2006, Cao et al. 2008, Keller et al. 2005, Laurencon et al. 2007, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007, Nogales-Cadenas et al. 2006, Ostrowski et al. 2002, Pazour et al. 2005, Stolc et al. 2005	
ENSG00000086288	NME8	NME/NM23 family member 8 [Source:HGNC Symbol;Acc:16473]	The sea urchin ortholog of this gene encodes a component of sperm outer dynein arms, and the protein is implicated in ciliary function. Mutations in this gene are implicated in primary ciliary dyskinesia type 6, MIM: 610852	PMID:17360648		
ENSG00000214513	NOTO	notochord homeobox [Source:HGNC Symbol;Acc:31839]	PMID:17884984 transcription factor regulating expression of cilia genes	PMID:17884984		Nucleus
ENSG00000144061	NPHP1	nephronophthisis 1 (juvenile) [Source:HGNC Symbol;Acc:7905]	Known ciliopathy gene JBTS4, NPHP1, SLS1 OMIM 607100	PMID:7806215, PMID:15138899, PMID:16885411	Blacque et al. 2005, Chen et al. 2006, Liu et al. 2007, McClintock et al. 2008, Ostrowski et al. 2002, Ross et al. 2007	Transition zone
ENSG00000113971	NPHP3	nephronophthisis 3 (adolescent) [Source:HGNC Symbol;Acc:7907]	Known ciliopathy gene MKS7, NPHP3 OMIM 608002. PMID:22328406, PMID:  22085962 	PMID:22328406	Li et al. 2004, Pazour et al. 2005	
ENSG00000131697	NPHP4	nephronophthisis 4 [Source:HGNC Symbol;Acc:19104]	Known ciliopathy gene NPHP4, SLS4 OMIM 607215	PMID:12244321, PMID:15661758	Blacque et al. 2005, Chen et al. 2006, Efimenko et al. 2005, Keller et al. 2005, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007	Transition zone
ENSG00000126883	NUP214	nucleoporin 214kDa [Source:HGNC Symbol;Acc:8064]	part of ciliary pore complex PMID:22388888	PMID:22388888		Transition zone
ENSG00000163002	NUP35	nucleoporin 35kDa [Source:HGNC Symbol;Acc:29797]	nucleoporin 35kDa, part of ciliary pore complex, PMID:22388888	PMID:22388888	Blacque et al. 2005, Muller et al. 2010	Transition zone
ENSG00000075188	NUP37	nucleoporin 37kDa [Source:HGNC Symbol;Acc:29929]	part of ciliary pore complex PMID:22388888	PMID:22388888		Transition zone
ENSG00000213024	NUP62	nucleoporin 62kDa [Source:HGNC Symbol;Acc:8066]	part of ciliary pore complex PMID:22388888	PMID:22388888	Andersen et al. 2003	Transition zone
ENSG00000102900	NUP93	nucleoporin 93kDa [Source:HGNC Symbol;Acc:28958]	part of ciliary pore complex PMID:22388888	PMID:22388888	Andersen et al. 2003, Muller et al. 2010	Transition zone
ENSG00000122126	OCRL	oculocerebrorenal syndrome of Lowe [Source:HGNC Symbol;Acc:8108]	Causes Lowe Syndrome. Involved in assembly of primary cilia, involed in Rab8n dependent protein trafficking to the cilium. PMID:22228094 	PMID:22228094		Cilium
ENSG00000136811	ODF2	outer dense fiber of sperm tails 2 [Source:HGNC Symbol;Acc:8114]	Several isoforms, all have quite different function in ciliogenesis	PMID:20234188, PMID:23470458	Andersen et al. 2003, Cao et al. 2008, Liu et al. 2007, Nogales-Cadenas et al. 2006	Basal Body
ENSG00000046651	OFD1	oral-facial-digital syndrome 1 [Source:HGNC Symbol;Acc:2567]	JBTS10, OFD1, SGBS2 OMIM 300170 	PMID:9215688, PMID:11950863, PMID:17761535	Andersen et al. 2003, Liu et al. 2007, Nogales-Cadenas et al. 2006	Basal Body, Nucleus
ENSG00000085840	ORC1	origin recognition complex, subunit 1 [Source:HGNC Symbol;Acc:8487] 	Causes Meier-Gorlin syndrome (MGS), a disorder conferring microcephaly, primordial dwarfism, underdeveloped ears, and skeletal abnormalities. knockdown affects ciliogenesis and Hh signaling. PMID: 23516378	PMID:23516378	Efimenko et al. 2005, Muller et al. 2010	
ENSG00000112530	PACRG	PARK2 co-regulated [Source:HGNC Symbol;Acc:19152]	Deletion of the Parkin co-regulated gene causes defects in ependymal ciliary motility and hydrocephalus in the quakingviable mutant mouse	PMID:16278296, PMID:20106870	Arnaiz et al. 2009, Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Blacque et al. 2005, Broadhead et al. 2006, Chen et al. 2006, Efimenko et al. 2005, Keller et al. 2005, Li et al. 2004, McClintock et al. 2008, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Smith et al. 2005, Stolc et al. 2005	Axoneme
ENSG00000007168	PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa) [Source:HGNC Symbol;Acc:8574]	LIS1 OMIM 601545. Mammalian Lis1 localizes to motile cilia in trachea and oviduct, but is absent from non-motile primary cilia PMID:17314247	PMID:17314247	Andersen et al. 2003, Blacque et al. 2005, Liu et al. 2007, Nogales-Cadenas et al. 2006, Ross et al. 2007	Axoneme
ENSG00000148498	PARD3	par-3 partitioning defective 3 homolog (C. elegans) [Source:HGNC Symbol;Acc:16051]	Localizes to the cilium and regulates ciliogenesis PMID:15324661, PMID:18070914	PMID:15324661, PMID:18070914		Cilium
ENSG00000102981	PARD6A	par-6 partitioning defective 6 homolog alpha (C. elegans) [Source:HGNC Symbol;Acc:15943]	Localizes to the cilium and regulates ciliogenesis PMID:15324661	PMID:15324661	Blacque et al. 2005, Laurencon et al. 2007	Cilium
ENSG00000150275	PCDH15	protocadherin-related 15 [Source:HGNC Symbol;Acc:14674]	Mutation causes USH1F OMIM 605514	PMID:11398101, PMID:11487575, PMID:14570705	Liu et al. 2007	Connecting Cilium, Stereocilium
ENSG00000078674	PCM1	pericentriolar material 1 [Source:HGNC Symbol;Acc:8727]	Centriolar satellite protein PMID:10579718. Interacts with BBS8 PMID:14520415. Centriolar localisation dependent on BBS4 PMID:15107855. Interacts with CEP290, involved in RAB8 localisation to cilium PMID:18772192. Retrograde trafficking of PCM1 regulated by HTT and HAP1 PMID: 21985783. Recruits PLK1 to the pericentriolar matrix to promote primary cilia disassembly before mitotic entry PMID:23345402.	PMID:10579718, IPMID:14520415, PMID:15107855, PMID:18772192, PMID: 21985783, PMID:23345402.	Andersen et al. 2003, Liu et al. 2007, Nogales-Cadenas et al. 2006, Ross et al. 2007	Centriolar Satellite
ENSG00000156973	PDE6D	phosphodiesterase 6D, cGMP-specific, rod, delta [Source:HGNC Symbol;Acc:8788]	Part of the ARL13B, INPP5E and CEP164 network PMID: 23150559 	PMID:23150559	Liu et al. 2007	
ENSG00000186862	PDZD7	PDZ domain containing 7 [Source:HGNC Symbol;Acc:26257]	PMID:20440071 Homologue of USH1C and USH2D. Mutation modulates disease severity and onset of Usher patients	PMID:20440071		Nucleus, Basal body
ENSG00000077684	PHF17	PHD finger protein 17 [Source:HGNC Symbol;Acc:30027]	JADE1. Interacts with pVHL, PC1 and NPHP4. PC1 and NPHP4 regulate JADE1 TF activity 	PMID:23001567, PMID:22654112	Blacque et al. 2005	Basal Body, Nucleus, Transition Zone
ENSG00000083535	PIBF1	progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:23352]	CEP90, PMID:23110211. Centriolar satelite protein required for primary cilia formation and BBS4 localization to the cilium	PMID:23110211	Andersen et al. 2003, Liu et al. 2007, Nogales-Cadenas et al. 2006	Pericentriolar Matrix
ENSG00000008710	PKD1	polycystic kidney disease 1 (autosomal dominant) [Source:HGNC Symbol;Acc:9008]	OMIM 601313. Mutation causes PKD. Dimerizes with PKD2 to form a channel in the ciliary membrane	PMID:1577479, PMID:7633406, PMID:8981910, PMID:9177229		Ciliary Membrane
ENSG00000158683	PKD1L1	polycystic kidney disease 1 like 1 [Source:HGNC Symbol;Acc:18053]	PMID:21307093 interacts with PKD2, required for normal Left-Richt patterning 	PMID:21307093		Cilium
ENSG00000118762	PKD2	polycystic kidney disease 2 (autosomal dominant) [Source:HGNC Symbol;Acc:9009]	OMIM 173910. Mutation causes PKD. Dimerizes with PKD1 to form a channel in the ciliary membran	PMID:8650545		Ciliary Membrane
ENSG00000170927	PKHD1	polycystic kidney and hepatic disease 1 (autosomal recessive) [Source:HGNC Symbol;Acc:9016]	OMIM 606702. Co-localizes with PKD2 to basal body and cilium. Cuases polycystic kidney and hepatic disease	PMID:11898128, PMID:14978161, PMID:15458427		Basal Body, Cilium, Cytosol
ENSG00000166851	PLK1	polo-like kinase 1 [Source:HGNC Symbol;Acc:9077]	Localizes to TZ and induces phosphorylation of NPHP1 PMID:22701722	PMID:22701722	Andersen et al. 2003, Muller et al. 2010, Nogales-Cadenas et al. 2006	Transition Zone
ENSG00000164087	POC1A	POC1 centriolar protein homolog A (Chlamydomonas) [Source:HGNC Symbol;Acc:24488]	Causes Primordial Dwarfism, a ciliopathy. A centriolar/basal body protein causes ciliogenesis defects and impaired mitosis PMID:22840364, OMIM:614783	PMID:22840364	Avidor-Reiss et al. 2004, Broadhead et al. 2006, Keller et al. 2005, Kilburn et al. 2007, Liu et al. 2007, Merchant et al. 2007, Nogales-Cadenas et al. 2006	Centriole
ENSG00000185920	PTCH1	patched 1 [Source:HGNC Symbol;Acc:9585]	PMID: 17641202	PMID:17641202	Blacque et al. 2005	Ciliary Membrane
ENSG00000158079	PTPDC1	protein tyrosine phosphatase domain containing 1 [Source:HGNC Symbol;Acc:30184]	PMID:21289087 Hh signalling defects after knockdown, validated. Knockdown produces elongated cilia	PMID:21289087	Arnaiz et al. 2010, Blacque et al. 2005, Li et al. 2004, McClintock et al. 2008, Merchant et al. 2007, Pazour et al. 2005	
ENSG00000103769	RAB11A	RAB11A, member RAS oncogene family [Source:HGNC Symbol;Acc:9760]	PMID:20308558. Interacts with Rabin8 to stimulate Rab8. Enriched at ciliary base. Knockdown blocks ciliogenesis	PMID:20308558	Keller et al. 2005, Liu et al. 2007, Pazour et al. 2005	Centrosome, Basal Body
ENSG00000090565	RAB11FIP3	RAB11 family interacting protein 3 (class II) [Source:HGNC Symbol;Acc:17224]	PMID:19153612 regulates trafficking of ciliary cargo	PMID:19153612	Nogales-Cadenas et al. 2006	Trans-Golgi Network
ENSG00000124839	RAB17	RAB17, member RAS oncogene family [Source:HGNC Symbol;Acc:16523]	PMID:17646400 involved in membrane trafficking, necessary for ciliogenesis	PMID:17646400	Ross et al. 2007	Plasma Membrane
ENSG00000112210	RAB23	RAB23, member RAS oncogene family [Source:HGNC Symbol;Acc:14263]	PMID:17646400 involved in membrane trafficking, necessary for ciliogenesis	PMID:17646400	Avidor-Reiss et al. 2004, Liu et al. 2007, Merchant et al. 2007, Pazour et al. 2005, Stolc et al. 2005	
ENSG00000127328	RAB3IP	RAB3A interacting protein [Source:HGNC Symbol;Acc:16508]	Rabin 8 PMID:17574030. Regulates GTP/GDP states of Rab8. Localizes to Basal Body and in part regulates localization of the BBSome to the basal body 	PMID:17574030		Basal Body, Centrosome
ENSG00000167461	RAB8A	RAB8A, member RAS oncogene family [Source:HGNC Symbol;Acc:7007]	PMID:17574030. Locailzes to the cilium and promotes extension of the cilium. Inactivating Rab8 (GDP-bound state) blocks ciliogenesis and induces BBS phenotypes in zebrafish	PMID:17574030	Liu et al. 2007, Pazour et al. 2005	Ciliary Membrane, Cilium
ENSG00000128581	RABL5	RAB, member RAS oncogene family-like 5 [Source:HGNC Symbol;Acc:21895]	IFT22, component of IFT complex B	PMID:22076686	Arnaiz et al. 2009, Blacque et al. 2005, Chen et al. 2006, Efimenko et al. 2005, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Stolc et al. 2005	Cilium, IFT
ENSG00000132341	RAN	RAN, member RAS oncogene family [Source:HGNC Symbol;Acc:9846]	RanGTP gradient regulates entry of RP2 and kinesin motor into cilium PMID: 21285245, PMID: 20526328	PMID:21285245, PMID:20526328	Andersen et al. 2003, Arnaiz et al. 2009, Liu et al. 2007, Nogales-Cadenas et al. 2006, Pazour et al. 2005, Reinders et al. 2006, Stolc et al. 2005	Cilium, Cytosol
ENSG00000099901	RANBP1	RAN binding protein 1 [Source:HGNC Symbol;Acc:9847]	Accelerated Ran GTP->GDP conversion.  knockdown of RanBP1 results in increased localization of Ran to basalbody. Also localises to Basal Body. PMID: 21998203	PMID:21998203	Andersen et al. 2003, Blacque et al. 2005, Nogales-Cadenas et al. 2006, Pazour et al. 2005, Stolc et al. 2005	Basal Body, Cytosol
ENSG00000080298	RFX3	regulatory factor X, 3 (influences HLA class II expression) [Source:HGNC Symbol;Acc:9984]	PMID:15121860 transcription factor regulating expression of cilia genes	PMID:15121860	Blacque et al. 2005, Chen et al. 2006, Efimenko et al. 2005, Ross et al. 2007	Nucleus
ENSG00000188026	RILPL1	Rab interacting lysosomal protein-like 1 [Source:HGNC Symbol;Acc:26814] 	Rab effector. Regulates cilium membrane content. PMID: 23264467	PMID:23264467		Cilium, Basal Body, Centriole
ENSG00000150977	RILPL2	Rab interacting lysosomal protein-like 2 [Source:HGNC Symbol;Acc:28787]	Rab effector. Regulates cilium membrane content. PMID: 23264467	PMID:23264467		Cilium, Basal Body
ENSG00000145491	ROPN1L	rhophilin associated tail protein 1-like [Source:HGNC Symbol;Acc:24060]	Also know as ASP. loss of ASP reduces mammalian ciliary motility PMID: 22021175	PMID:22021175	Broadhead et al. 2006, Cao et al. 2008, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Stolc et al. 2005	Cilium, Cytosol
ENSG00000104237	RP1	retinitis pigmentosa 1 (autosomal dominant) [Source:HGNC Symbol;Acc:10263]	Mutation causes retinitis pigmentosa. Localizes to the connecting cilium in photoreceptor cells	PMID:10401003, PMID:11773008	Liu et al. 2007, Ostrowski et al. 2002	Cilium, Connecting Cilium
ENSG00000102218	RP2	retinitis pigmentosa 2 (X-linked recessive) [Source:HGNC Symbol;Acc:10274]	OMIM 300757. Causes retinis pigmentosa, Localizes to the base of the cilium	PMID:9697692, PMID:21285245	Blacque et al. 2005, Broadhead et al. 2006, Efimenko et al. 2005, Li et al. 2004, Mayer et al. 2009	Basal Body
ENSG00000156313	RPGR	retinitis pigmentosa GTPase regulator [Source:HGNC Symbol;Acc:10295]	CORD1, RP3 OMIM 312610. Causes retinis pigmentosa, localizes to base of the cilium	PMID:8673101, PMID:15772089	Liu et al. 2007, Nogales-Cadenas et al. 2006, Ross et al. 2007	Basal Body, Centriole, Cilium
ENSG00000092200	RPGRIP1	retinitis pigmentosa GTPase regulator interacting protein 1 [Source:HGNC Symbol;Acc:13436]	Known ciliopathy gene CORD13, LCA6 OMIM 605446	PMID:11104772, PMID:15772089	Blacque et al. 2005, Liu et al. 2007, Nogales-Cadenas et al. 2006	Basal Body, Centriole, Cilium, Connecting Cilium
ENSG00000103494	RPGRIP1L	RPGRIP1-like [Source:HGNC Symbol;Acc:29168]	Causes COACH, JBTS7, MKS5, NPHP8 OMIM 610937. Co-localizes with NPHP4 and NPHP6 to the basal body.	PMID:17558407, PMID:17558409, PMID:17960139, PMID:19410446	Blacque et al. 2005, Ross et al. 2007	Basal Body
ENSG00000160188	RSPH1	radial spoke head 1 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:12371]	PMID: 17451891 Radial spoke protein 44, May play an important role in male meiosis.           	PMID:17451891	Arnaiz et al. 2009, Arnaiz et al. 2010, Broadhead et al. 2006, McClintock et al. 2008, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Smith et al. 2005, Stolc et al. 2005, Stubbs et al. 2008	Cilium, Axoneme
ENSG00000130363	RSPH3	radial spoke 3 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:21054]	PMID:21289087 structural primary cilia defects after knockdown in 3 murine cell lines. PMID:19684019 RSPH3 is a protein kinase A-anchoring protein (AKAP) that scaffolds the cAMP-dependent protein kinase holoenzyme. The binding of RSPH3 to the regulatory subunits of cAMP-dependent protein kinase, RIIalpha and RIIbeta, is regulated by ERK1/2 activity and phosphorylation. 	PMID:21289087	Arnaiz et al. 2009, Arnaiz et al. 2010, Broadhead et al. 2006, Li et al. 2004, McClintock et al. 2008, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Smith et al. 2005, Stolc et al. 2005, Stubbs et al. 2008	Cilium, Axoneme
ENSG00000111834	RSPH4A	radial spoke head 4 homolog A (Chlamydomonas) [Source:HGNC Symbol;Acc:21558]	PMID:21289087 defective Hh signalling but no structural cilia defects after knockdown. Mutations in RSPH4A cause primary ciliary dyskinesia, with typical respiratory features, but without situs abnormalities. These findings suggest that radial spoke proteins are not essential for embryonic nodal ciliary function, which is important in the determination of left-right axis development  PMID:19200523	PMID:21289087	Arnaiz et al. 2009, Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Broadhead et al. 2006, Kilburn et al. 2007, Li et al. 2004, Ostrowski et al. 2002, Pazour et al. 2005, Smith et al. 2005, Stolc et al. 2005	Cilium, Axoneme
ENSG00000172426	RSPH9	radial spoke head 9 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:21057]	MIM: 612648. Mutations in RSPH9 cause primary ciliary dyskinesia, with typical respiratory features, but without situs abnormalities. These findings suggest that radial spoke proteins are not essential for embryonic nodal ciliary function, which is important in the determination of left-right axis development PMID:19200523. PMID:21289087 structural cilia defects of primary cilia after knockdown in 3 different murine cell lines. 	PMID:21289087	Arnaiz et al. 2009, Arnaiz et al. 2010, Broadhead et al. 2006, Li et al. 2004, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Smith et al. 2005, Stolc et al. 2005, Stubbs et al. 2008	Cilium, Axoneme
ENSG00000176225	RTTN	rotatin [Source:HGNC Symbol;Acc:18654]	Mutated in polymicrogyria with seizures OMIM 610436. Required for normal ciliogenesis. Structural abnormalities of the cilia in knockdowns and in  patients with RTTN mutations PMID:22939636	PMID:22939636	Andersen et al. 2003	Basal Body
ENSG00000156876	SASS6	spindle assembly 6 homolog (C. elegans) [Source:HGNC Symbol;Acc:25403]	PMID: 22349705 required for centriole duplication. Null mutant cells lack primary cilia.	PMID:22349705	Andersen et al. 2003, Kilburn et al. 2007, Li et al. 2004, Nogales-Cadenas et al. 2006	Basal Body, Centriole
ENSG00000151466	SCLT1	sodium channel and clathrin linker 1 [Source:HGNC Symbol;Acc:26406]	Distal appendage of centrioles, essential for ciliogenesis PMID:23348840.	PMID:23348840.	Nogales-Cadenas et al. 2006	Centriole
ENSG00000054282	SDCCAG8	serologically defined colon cancer antigen 8 [Source:HGNC Symbol;Acc:10671]	Ciliopathy gene NPHP10, SLS7 OMIM 613524 PMID: 21199495	PMID:21199495	Andersen et al. 2003, Cao et al. 2008, Nogales-Cadenas et al. 2006	Basal Body, Centriole, Transition Zone
ENSG00000168385	SEPT2	septin 2 [Source:HGNC Symbol;Acc:7729]	Forms 'diffusion barrier' at base of cilium PMID: 20558667	PMID:20558667	Arnaiz et al. 2010, Li et al. 2004, Liu et al. 2007, Mayer et al. 2009, Ostrowski et al. 2002	Centrosome
ENSG00000122545	SEPT7	septin 7 [Source:HGNC Symbol;Acc:1717]	PMID: 20671153	PMID:20671153	Arnaiz et al. 2010, Li et al. 2004, Liu et al. 2007, Mayer et al. 2009	Centrosome
ENSG00000185900	SGK196	Probable inactive protein kinase-like protein SgK196 [Source:UniProtKB/Swiss-Prot;Acc:Q9H5K3]	Hydrocephalus and infertility due to dysfunctional motile cilia, cerebellar dysplasia in KO mouse PMID: 21746835	PMID:21746835		
ENSG00000164690	SHH	sonic hedgehog [Source:HGNC Symbol;Acc:10848]	PMID: 17641202	PMID:17641202		Ciliary Membrane
ENSG00000180638	SLC47A2	solute carrier family 47, member 2 [Source:HGNC Symbol;Acc:26439]	PMID:22558177. Found to be co-expressed with other ciliary components. Localization studies show localization to the cilium	PMID:22558177		Ciliary Membrane
ENSG00000128602	SMO	smoothened, frizzled family receptor [Source:HGNC Symbol;Acc:11119]	Localizes to Cilia Membrane when SHH bound to PTCH1	PMID:17641202		Ciliary Membrane
ENSG00000132639	SNAP25	synaptosomal-associated protein, 25kDa [Source:HGNC Symbol;Acc:11132]	PMID:19454479 required for transport to the cilium	PMID:19454479	Liu et al. 2007	Cilium, Cytosol
ENSG00000086300	SNX10	sorting nexin 10 [Source:HGNC Symbol;Acc:14974]	PMID:21844891 regulates ciliogenesis	PMID:21844891		Centrosome
ENSG00000064199	SPA17	sperm autoantigenic protein 17 [Source:HGNC Symbol;Acc:11210]	localized in the spermatozoa flagellar fibrous sheath, PMID: 19604394. 	PMID:19604394	Cao et al. 2008, McClintock et al. 2008, Ostrowski et al. 2002, Ross et al. 2007	Cilium
ENSG00000144451	SPAG16	sperm associated antigen 16 [Source:HGNC Symbol;Acc:23225]	orthologue of Chlamydomonas reinhardtii PF20, a protein known to be essential to the structure and function of the 9+2 axoneme. Mutation results in instability of central pair of the human sperm axoneme PMID: 17699735	PMID:21655194, PMID:17699735	Arnaiz et al. 2009, Arnaiz et al. 2010, Broadhead et al. 2006, Li et al. 2004, Merchant et al. 2007, Pazour et al. 2005, Smith et al. 2005, Stolc et al. 2005	Axoneme
ENSG00000155761	SPAG17	sperm associated antigen 17 [Source:HGNC Symbol;Acc:26620]	Essential for motile cilia function. KO mice have immotile nasal and tracheal cilia, respiratory problems and hydrocephalus PMID: 23418344	PMID:23418344	Boesger et al. 2009, Pazour et al. 2005, Ross et al. 2007	Central Pair
ENSG00000077327	SPAG6	sperm associated antigen 6 [Source:HGNC Symbol;Acc:11215]	axoneme central apparatus protein; protein PF16 homolog; sperm flagellar protein	PMID:12167721, PMID:10493827	Arnaiz et al. 2009, Arnaiz et al. 2010, Broadhead et al. 2006, McClintock et al. 2008, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Stolc et al. 2005, Stubbs et al. 2008	Axoneme
ENSG00000042317	SPATA7	spermatogenesis associated 7 [Source:HGNC Symbol;Acc:20423]	Ciliopathy gene LCA PMID: 19268277	PMID:19268277	Liu et al. 2007	Cilium
ENSG00000152582	SPEF2	sperm flagellar 2 [Source:HGNC Symbol;Acc:26293]	PCD PMID: 21715716, interacts with IFT20 PMID: 19889948	PMID:19889948, PMID:21715716	Arnaiz et al. 2009, Arnaiz et al. 2010, Li et al. 2004, Mayer et al. 2008, Mayer et al. 2009, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Smith et al. 2005	
ENSG00000176101	SSNA1	Sjogren syndrome nuclear autoantigen 1 [Source:HGNC Symbol;Acc:11321]	PMID:21289087, siRNA knockdown in 3 mouse cell lines perturbs receptor tranport into cilium and HH signalling. 	PMID:21289087	Andersen et al. 2003, Broadhead et al. 2006, Keller et al. 2005, Li et al. 2004, Merchant et al. 2007, Nogales-Cadenas et al. 2006, Pazour et al. 2005, Stolc et al. 2005	
ENSG00000183473	SSTR3	somatostatin receptor 3 [Source:HGNC Symbol;Acc:11332]	Localized to the plasma membrane of neuronal cilia PMID: 10199624, PMID: 23392690	PMID:10199624, PMID:23392690		Ciliary Membrane
